TKR,NAME,CAP,PRC,TGT,UP%,#T,%B,#A,AM,A,EXR,B,52W,2H,PET,PEF,P/S,PEG,DV,SI,EG,PP,ROE,DE,FCF,ERN,SZ,BS,SIGNAL_TRACK,SIGNAL_HORIZON
IPGP,IPG PHOTONICS ,3.38B,79.56,126.21,58.6%,9.0,100%,2.0,0,E,58.6%,1.0,51,N,122.4,34.8,1.1,--,--,22.3%,-29.8,--,1.3,0.8,1.3%,06/30,4k,I,--,30
FSK,FS KKR CAPITAL,3.37B,12.18,12.05,-1.1%,11.0,--,3.0,0,E,-0.0,0.9,67,Y,--,8.1,0.5,--,16.40%,4.4%,-115.9,--,-6.6,122.8,9.4%,06/30,2.5k,I,--,30
APAM.AS,APERAM S.A.,3.37B,46.52,52.28,12.4%,10,40%,10,+1,A,5.0%,1.8,86,Y,26.6,10.1,0.4,--,4.16%,--,652.4,--,3.9,40.4,9.7%,06/30,2.5k,S,value,90
DAN,DANA INCORPORA,3.37B,31.29,37.43,19.6%,8.0,62%,8.0,-1,E,12.3%,2.0,79,Y,--,7.7,0.3,--,1.50%,6.5%,-33.3,54.72,-1.6,75.8,18.8%,06/30,3k,H,value,90
USLM,UNITED STATES ,3.36B,117.19,132.00,12.6%,1,100%,1,0,A,12.6%,0.7,83,N,25.0,20.6,0.8,--,0.21%,8.7%,-11.0,--,21.4,0.5,1.4%,06/30,3k,I,--,30
GPI,GROUP 1 AUTOMO,3.36B,281.60,371.08,31.8%,12.0,56%,9.0,-2,E,17.7%,0.8,58,N,11.6,6.4,0.3,0.3,0.73%,14.2%,686.3,-40.29,9.5,195.7,4.0%,06/30,3k,H,value,90
DHT,"DHT HOLDINGS, ",3.36B,20.82,20.52,-1.5%,6.0,50%,6.0,0,A,-0.7%,-0.1,98,Y,7.1,11.1,0.6,--,23.38%,9.7%,342.7,--,39.2,33.2,-1.0%,06/30,2.5k,S,value,90
VGNT,VERSIGENT PLC,3.36B,47.39,56.70,19.6%,11,89%,9,+4,E,17.5%,--,93,Y,6.9,6.1,0.2,--,1.04%,--,12.4,--,--,853.2,--,06/30,3k,H,value,90
HOC.L,HOCHSCHILD MIN,3.36B,652.50,733.08,12.4%,11,90%,11,+2,A,11.1%,1.0,77,Y,15.2,10.8,0.5,--,1.02%,--,--,--,42.2,24.1,10.0%,08/26,3k,H,value,90
NATL,NCR ATLEOS COR,3.36B,45.48,50.20,10.4%,3.0,--,3.0,0,A,0.0,0.6,94,Y,17.6,8.5,0.3,--,--,7.9%,150.0,15.29,48.5,634.3,14.2%,06/30,2.5k,I,--,30
SFNC,SIMMONS FIRST ,3.35B,23.21,25.50,9.9%,7.0,17%,6.0,+1,E,1.6%,0.9,95,Y,--,10.2,0.6,--,3.63%,5.4%,111.9,--,-9.9,--,--,06/30,2.5k,S,value,90
COVH.PA,COVIVIO HOTELS,3.35B,21.20,--,--,--,--,--,--,,--,0.4,77,N,9.9,12.4,0.4,--,6.85%,--,--,--,9.3,73.8,1.8%,07/20,2.5k,I,--,30
SMG,THE SCOTTS MIR,3.35B,57.53,77.17,34.1%,8.0,60%,5.0,0,E,20.5%,1.8,76,N,22.2,12.2,0.5,0.8,4.44%,9.4%,168.2,-1.16,--,--,7.4%,06/30,3.5k,I,--,30
FBU.AX,FLETCHER BUILD,3.35B,3.12,3.12,0.3%,13,30%,13,0,A,0.1%,0.7,91,Y,20.8,14.7,0.6,--,--,--,--,10.85,5.5,51.1,2.9%,08/19,2.5k,S,value,90
SBCF,SEACOAST BANKI,3.34B,34.52,37.04,7.3%,6,--,1,0,E,0.0,0.9,95,Y,22.4,12.5,0.8,--,2.20%,5.9%,63.3,--,6.1,--,--,06/30,2.5k,I,--,30
SIX2.DE,SIXT SE,3.34B,71.15,93.50,31.4%,7.0,100%,7.0,+1,A,31.4%,1.0,82,Y,11.0,9.3,0.3,--,4.45%,--,-54.3,--,15.0,212.2,17.1%,06/30,4k,H,value,90
SXI,STANDEX INTERN,3.34B,271.63,338.40,24.6%,5.0,100%,1.0,0,E,24.6%,1.0,75,Y,31.3,22.9,0.8,--,0.49%,7.3%,36.1,--,17.2,75.0,5.0%,06/30,3.5k,I,--,30
XYLD,GLOBAL X S&P 5,3.34B,41.59,--,--,--,--,--,--,,--,--,99,Y,24.9,--,--,--,9.43%,--,--,--,--,--,--,--,2.5k,I,--,30
NMIH,"NMI HOLDINGS, ",3.34B,44.38,49.17,10.8%,6,100%,3,-2,E,10.8%,0.5,95,Y,8.7,8.1,0.5,--,--,3.1%,10.2,--,15.4,15.8,9.9%,06/30,3k,I,--,30
FOUR,SHIFT4 PAYMENT,3.34B,42.29,55.50,31.2%,23.0,70%,10.0,0,E,21.9%,1.4,48,N,66.1,6.7,0.2,0.3,--,18.1%,-21.7,--,6.5,262.3,10.6%,06/30,3.5k,H,value,90
BNK.PA,MULTI UNITS LU,3.33B,75.70,--,--,--,--,--,--,,--,--,99,Y,13.1,--,--,--,--,--,--,--,--,--,--,--,2.5k,I,--,30
ASH,ASHLAND INC.,3.33B,72.62,80.18,10.4%,12,57%,7,0,E,6.0%,0.4,93,Y,46.6,16.9,0.7,--,2.30%,10.5%,24.2,40.01,4.0,78.9,8.1%,06/30,2.5k,H,value,90
AD,ARRAY DIGITAL ,3.33B,38.46,43.33,12.7%,4,67%,3,0,E,8.4%,0.3,63,N,5.0,39.6,2.6,16.4,--,12.1%,262.5,--,22.7,94.2,26.7%,06/30,3k,I,--,30
MF.PA,WENDEL,3.33B,86.15,106.17,23.2%,6.0,50%,6.0,0,A,11.6%,1.0,94,Y,--,17.1,1.1,--,6.01%,--,--,--,8.0,113.4,-10.6%,07/30,3k,H,value,90
GBDC,GOLUB CAPITAL ,3.32B,12.78,13.62,6.6%,7,100%,1,0,E,6.6%,0.4,86,N,19.4,10.1,0.6,--,10.15%,5.0%,-40.8,--,4.5,122.5,8.3%,06/30,3k,I,--,30
SPK.AX,SPARK NEW ZEAL,3.32B,1.75,2.80,59.5%,7.0,71%,7.0,0,A,42.3%,0.2,78,N,8.4,14.5,0.9,--,7.03%,--,--,-18.99,30.7,119.6,29.4%,08/19,4k,H,value,90
HTGC,HERCULES CAPIT,3.32B,17.72,19.50,10.0%,9,100%,2,+1,E,10.0%,0.7,90,Y,8.8,9.0,0.6,--,10.66%,5.9%,8.8,--,17.3,103.3,7.8%,06/30,3k,I,--,30
CBU,COMMUNITY FINA,3.32B,63.15,70.17,11.1%,6,--,2,0,E,0.0,0.8,89,Y,14.7,12.2,0.8,--,2.98%,4.9%,11.3,--,11.5,--,--,06/30,2.5k,I,--,30
LION,LIONSGATE STUD,3.32B,11.16,15.40,38.0%,11.0,--,1.0,0,E,0.0,--,67,Y,--,25.6,1.3,--,--,--,74.3,--,--,--,--,06/30,2.5k,I,--,30
IAUP.L,ISHARES GOLD P,3.31B,46.28,--,--,--,--,--,--,,--,--,86,Y,17.4,--,--,--,--,--,--,--,--,--,--,--,2.5k,I,--,30
SPGP.L,ISHARES GOLD P,3.31B,3414.00,--,--,--,--,--,--,,--,--,83,Y,--,--,--,--,--,--,--,--,--,--,--,--,2.5k,I,--,30
IBDR,ISHARES IBONDS,3.30B,24.19,--,--,--,--,--,--,,--,--,99,N,--,--,--,--,4.08%,--,--,--,--,--,--,--,2.5k,I,--,30
HIK.L,HIKMA PHARMACE,3.30B,1596.00,1967.47,23.3%,12.0,91%,12.0,+1,A,21.2%,0.7,86,Y,12.3,8.7,0.3,--,4.02%,--,--,--,15.4,77.1,0.4%,08/06,3.5k,H,value,90
SF.ST,STILLFRONT GRO,3.30B,6.40,7.61,18.9%,4.0,75%,4.0,0,A,14.2%,0.5,90,Y,--,3.1,0.2,--,--,--,394.4,--,-35.9,101.0,35.5%,06/30,3k,I,--,30
XXI,TWENTY ONE CAP,3.30B,5.86,--,--,--,--,--,--,,--,-1.2,23,N,--,--,--,--,--,14.6%,-101411.4,--,--,22.2,--,06/30,2.5k,I,--,30
SII,SPROTT INC.,3.30B,128.38,160.00,24.6%,5.0,80%,5.0,0,A,19.7%,1.4,76,Y,31.5,27.1,1.7,--,1.24%,--,160.3,--,27.3,--,6.4%,06/30,3.5k,I,--,30
EXK,ENDEAVOUR SILV,3.30B,11.13,15.50,39.3%,8,100%,2,0,E,39.3%,2.5,73,Y,55.6,9.1,0.4,--,--,--,258.5,--,10.6,34.8,2.1%,06/30,4k,I,--,30
HUH1V.HE,HUHTAMÄKI OYJ,3.30B,31.40,35.11,11.8%,10,80%,10,0,A,9.5%,0.4,96,Y,15.9,11.7,0.5,--,3.65%,--,112.3,--,11.4,81.7,6.1%,06/30,3k,H,value,90
SZG.DE,SALZGITTER AG,3.29B,59.90,67.30,12.4%,10.0,80%,10.0,+3,A,9.9%,2.2,89,Y,57.0,8.1,0.3,--,0.33%,--,-198.3,--,1.4,51.4,-14.4%,06/30,3k,H,value,90
PVH,PVH CORP.,3.29B,71.26,90.83,27.5%,13.0,33%,3.0,0,E,9.2%,1.7,71,N,--,5.7,0.2,0.1,0.20%,13.8%,-2550.0,-13.28,-3.5,86.9,16.1%,07/31,3k,I,--,30
FIE.DE,FIELMANN GROUP,3.29B,39.20,55.25,40.9%,9.0,77%,9.0,0,A,31.5%,0.6,70,N,15.8,14.0,0.5,--,3.57%,--,7.6,--,20.1,80.5,7.8%,06/30,4k,H,value,90
UCON,FIRST TRUST SM,3.29B,24.52,--,--,--,--,--,--,,--,--,96,N,21.7,--,--,--,4.75%,--,--,--,--,--,--,--,2.5k,I,--,30
RXO,"RXO, INC.",3.29B,19.92,24.56,23.3%,21,38%,13,+2,E,9.0%,2.0,67,Y,--,33.0,1.2,172.1,--,25.2%,35.7,--,-6.8,48.3,0.2%,06/30,3k,S,value,90
AOA,ISHARES CORE 8,3.29B,99.04,--,--,--,--,--,--,,--,--,99,Y,20.9,--,--,--,2.09%,--,--,--,--,--,--,--,2.5k,I,--,30
FTGC,FIRST TRUST GL,3.28B,31.19,--,--,--,--,--,--,,--,--,98,Y,--,--,--,--,14.26%,--,--,--,--,--,--,--,2.5k,I,--,30
ERG.MI,ERG S.P.A.,3.28B,22.54,23.48,4.1%,8,25%,8,0,A,1.0%,0.7,86,N,39.5,19.3,1.0,--,4.49%,--,-89.0,--,4.1,137.0,6.1%,06/30,2.5k,S,value,90
AAMI,ACADIAN ASSET ,3.27B,92.15,85.67,-7.0%,3.0,--,4.0,0,E,-0.0,1.3,94,Y,32.6,14.1,0.9,--,0.43%,3.8%,80.8,--,106.8,193.3,7.1%,06/30,2.5k,I,--,30
MATAS.CO,MATAS A/S,3.27B,88.30,137.50,55.7%,3,66%,3,0,A,36.8%,0.8,64,N,16.9,7.0,0.3,--,2.25%,--,-20.8,--,5.4,112.4,5.7%,06/30,4k,I,--,30
ATRO,ASTRONICS CORP,3.27B,76.00,89.55,17.8%,5,80%,5,0,A,14.3%,1.2,80,Y,41.5,24.1,0.8,--,--,9.3%,415.9,--,33.7,178.1,0.5%,06/30,3k,I,--,30
LPL,LG DISPLAY CO.,3.26B,3.26,4.30,32.1%,2,50%,2,--,A,16.0%,1.3,56,N,--,30.6,0.9,--,--,0.9%,-1858.8,--,-17.6,175.9,20607.0%,06/30,3k,I,--,30
TGB,TREKOR METALS ,3.26B,8.90,10.69,20.2%,8.0,100%,8.0,+1,A,20.2%,2.1,91,Y,445.0,11.0,0.5,--,--,--,179.8,--,2.2,89.4,-3.2%,06/30,3.5k,H,value,90
COL.MC,"COLONIAL SFL, ",3.26B,5.20,6.48,24.6%,17,47%,17,-1,A,11.6%,1.2,89,N,9.8,14.0,0.5,--,6.18%,--,309.6,--,5.4,74.9,4.3%,06/30,3k,S,--,30
OSIS,"OSI SYSTEMS, I",3.26B,204.25,278.29,36.2%,7.0,100%,3.0,0,E,36.2%,1.2,66,N,22.8,15.8,0.5,1.5,--,15.9%,168.7,--,17.3,126.0,6.4%,06/30,4k,I,--,30
KYIV,KYIVSTAR GROUP,3.26B,14.11,18.05,28.0%,8.0,87%,8.0,-1,A,24.3%,--,85,Y,20.4,0.2,0.0,1.4,--,5.8%,186.5,--,12.3,39.3,9.6%,06/30,3.5k,H,value,90
BUCN.SW,BUCHER INDUSTR,3.25B,331.50,335.67,1.3%,6.0,--,6.0,-1,A,0.0,0.9,83,N,18.3,16.8,0.6,--,3.34%,--,--,-11.81,10.2,1.6,3.5%,07/30,2.5k,S,value,90
TAALEEM.AE,TAALEEM HOLDIN,3.24B,3.24,4.72,45.6%,3.0,100%,3.0,+1,A,45.6%,0.3,70,N,18.0,20.2,0.8,--,4.66%,--,21.0,--,10.0,95.1,-9.3%,05/31,4k,I,--,30
BATRK,ATLANTA BRAVES,3.24B,50.46,63.40,25.6%,5.0,100%,1.0,0,E,25.6%,0.8,93,Y,--,-86.0,--,--,--,6.9%,-140.8,--,-12.0,170.3,-0.6%,06/30,3.5k,I,--,30
SK.PA,SEB SA,3.24B,59.10,74.41,25.9%,11,72%,11,0,A,18.7%,1.2,89,Y,27.1,7.5,0.3,--,4.78%,--,--,--,4.9,105.5,15.3%,03/31,3.5k,H,value,90
BFAM,BRIGHT HORIZON,3.24B,66.61,89.44,34.3%,9,--,3,0,E,0.0,1.1,57,N,21.1,11.3,0.5,--,--,4.7%,-48.3,--,14.9,217.8,7.4%,06/30,2.5k,I,--,30
BKU,"BANKUNITED, IN",3.24B,45.55,50.27,10.4%,11.0,36%,11.0,0,E,3.8%,1.2,87,N,12.5,10.2,0.6,--,2.85%,5.5%,-1.7,--,9.2,--,--,06/30,2.5k,S,value,90
FRPT,"FRESHPET, INC.",3.23B,67.28,84.25,25.2%,17.0,71%,7.0,-1,E,18.0%,1.7,78,Y,17.4,34.3,1.4,2.8,--,17.9%,-80.8,--,17.6,39.9,0.6%,06/30,3.5k,H,value,90
ATROB,ASTRONICS CORP,3.23B,75.11,--,--,--,--,--,--,,--,1.2,80,Y,41.0,--,--,--,--,--,415.9,137.38,33.7,178.1,0.5%,06/30,2.5k,I,--,30
DKL,DELEK LOGISTIC,3.23B,55.82,52.83,-5.4%,6.0,--,1.0,0,E,-0.0,0.4,91,Y,19.3,14.6,0.8,--,8.10%,1.5%,-36.6,--,--,--,-3.3%,06/30,2.5k,I,--,30
EXPO,"EXPONENT, INC.",3.23B,67.86,84.00,23.8%,4.0,50%,2.0,0,E,11.9%,0.7,83,Y,30.4,23.9,0.8,--,1.80%,8.4%,4.8,--,31.2,28.0,2.4%,06/30,3k,I,--,30
IUS3.DE,ISHARES S&P SM,3.22B,100.28,--,--,--,--,--,--,,--,--,94,Y,--,--,--,--,--,--,--,--,--,--,--,--,2.5k,I,--,30
AGO,ASSURED GUARAN,3.21B,73.00,90.33,23.7%,3.0,100%,2.0,0,E,23.7%,0.7,79,N,9.7,10.3,0.6,--,2.01%,7.3%,-62.9,--,6.7,30.6,0.5%,06/30,3.5k,I,--,30
CSH.PA,AMUNDI EUR OVE,3.21B,114.43,--,--,--,--,--,--,,--,--,100,Y,--,--,--,--,--,--,--,--,--,--,--,--,2.5k,I,--,30
CPK,CHESAPEAKE UTI,3.21B,133.02,146.90,10.4%,6.0,--,1.0,0,E,0.0,0.7,94,Y,21.2,18.2,0.9,2.2,2.22%,5.5%,30.9,--,9.5,101.3,-6.9%,06/30,2.5k,I,--,30
ENT.L,ENTAIN PLC,3.21B,502.00,943.10,87.9%,19.0,89%,19.0,0,A,78.2%,0.8,55,N,--,7.7,0.3,--,4.02%,--,--,--,-38.9,335.2,-7.8%,08/13,4k,H,value,90
TNK,TEEKAY TANKERS,3.20B,92.33,93.80,1.6%,5.0,100%,2.0,0,E,1.6%,-0.2,98,Y,5.4,8.5,0.5,--,1.07%,3.4%,145.3,--,28.0,1.6,7.1%,06/30,2.5k,I,--,30
NATO.L,HANETF ICAV - ,3.20B,20.77,--,--,--,--,--,--,,--,--,90,Y,31.5,--,--,--,--,--,--,--,--,--,--,--,2.5k,I,--,30
NHF.AX,NIB HOLDINGS L,3.20B,6.55,7.43,13.5%,9.0,44%,9.0,-2,A,5.9%,0.1,85,N,17.2,13.1,0.8,--,4.43%,--,--,-5.64,16.4,19.9,6.1%,08/24,2.5k,S,value,90
FIXD,FIRST TRUST SM,3.20B,42.71,--,--,--,--,--,--,,--,--,95,N,21.5,--,--,--,4.80%,--,--,--,--,--,--,--,2.5k,I,--,30
AAUC,ALLIED GOLD CO,3.19B,22.90,--,--,--,--,--,--,,--,0.7,71,N,--,--,--,--,--,3.2%,246.6,--,-2.9,31.2,4.7%,06/30,2.5k,I,--,30
DX,"DYNEX CAPITAL,",3.19B,12.89,14.75,14.4%,6,100%,1,0,E,14.4%,0.9,86,N,4.1,8.2,0.3,--,15.81%,5.7%,20.2,--,18.2,713.5,--,06/30,3k,I,--,30
IRE.MI,IREN SPA,3.19B,2.49,3.03,21.8%,5,80%,5,+1,A,17.4%,0.8,87,N,10.8,10.1,0.5,--,5.56%,--,49.9,--,8.6,129.5,18.9%,06/30,3k,I,--,30
GPOR,GULFPORT ENERG,3.18B,180.04,225.33,25.2%,13,25%,4,0,E,6.3%,0.4,80,N,6.9,6.5,0.4,--,--,7.7%,-21.8,--,27.4,50.5,3.2%,06/30,3k,I,--,30
RWC.AX,RELIANCE WORLD,3.17B,4.24,4.78,12.9%,14.0,21%,14.0,-7,A,2.7%,0.8,93,Y,423.5,13.7,0.5,--,1.57%,--,--,0.74,0.5,29.4,6.3%,08/18,2.5k,S,value,90
CAF.PA,CAISSE RÉGIONA,3.17B,114.20,--,--,--,--,--,--,,--,0.4,87,N,12.2,--,--,--,2.27%,--,--,--,2.9,--,--,--,2.5k,I,--,30
ATKR,ATKORE INC.,3.17B,93.87,93.50,-0.4%,3.0,--,2.0,-1,E,-0.0,1.7,100,Y,--,14.7,0.5,--,1.41%,4.1%,101.4,--,-11.9,71.6,9.8%,06/30,2.5k,I,--,30
QURE,UNIQURE N.V.,3.17B,45.68,69.81,52.8%,13.0,100%,3.0,+1,E,52.8%,0.9,64,Y,--,-14.9,--,--,--,15.7%,-0.7,--,-157.6,170.4,-2.4%,06/30,4k,I,--,30
BRE.MI,BREMBO N.V.,3.17B,9.97,11.73,17.6%,10,60%,10,0,A,10.6%,1.1,83,Y,13.9,11.8,0.5,--,2.98%,--,-6.6,--,10.1,58.7,6.2%,06/30,3k,H,value,90
PLUG,PLUG POWER INC,3.16B,2.26,3.55,57.2%,20.0,50%,4.0,0,E,28.6%,2.2,49,N,--,-15.2,--,--,--,23.5%,48.0,--,-145.0,176.6,-7.8%,06/30,3.5k,I,--,30
FG,F&G ANNUITIES ,3.16B,24.17,27.00,11.7%,2,--,2,0,A,0.0,1.2,68,N,8.0,5.0,0.3,--,3.99%,9.2%,-164.4,--,9.2,48.8,71.7%,06/30,2.5k,I,--,30
BSM,BLACK STONE MI,3.16B,14.84,16.00,7.8%,3.0,--,3.0,0,A,0.0,0.0,96,Y,12.4,12.8,0.7,1.4,8.33%,1.8%,15.9,--,25.6,17.6,3.1%,06/30,2.5k,I,--,30
SHOO,"STEVEN MADDEN,",3.16B,43.16,52.40,21.4%,10.0,80%,5.0,+1,E,17.1%,1.2,87,Y,21.6,15.6,0.6,--,1.92%,7.7%,35.1,--,15.9,38.8,6.9%,06/30,3k,I,--,30
VTMX,CORPORACIÓN IN,3.16B,34.03,36.90,8.4%,4.0,50%,4.0,0,A,4.2%,0.3,91,Y,7.4,16.3,0.5,--,2.39%,--,267.4,--,14.1,37.4,5.1%,06/30,2.5k,I,--,30
LFTO,LIFTOFF MOBILE,3.16B,18.65,35.69,91.4%,15.0,100%,6.0,+1,E,91.4%,--,62,N,88.8,14.4,0.9,--,--,2.3%,26.2,--,--,--,5.7%,06/30,4k,H,value,90
FRSH,FRESHWORKS INC,3.16B,12.10,14.54,20.2%,16.0,75%,4.0,+1,E,15.1%,0.9,86,Y,19.2,14.5,0.4,0.5,--,10.7%,169.2,--,19.7,3.9,8.3%,06/30,3k,I,--,30
BBZA.DE,BB BIOTECH AG,3.15B,57.20,62.00,8.4%,1,100%,1,--,A,8.4%,0.7,98,Y,--,26.3,0.9,--,--,--,550.1,--,54.8,--,78.3%,06/30,3k,I,--,30
RF.PA,EURAZEO SE,3.15B,49.54,71.73,44.8%,7.0,85%,7.0,0,A,38.1%,1.2,79,Y,--,5.7,0.3,--,6.00%,--,--,--,-1.8,26.3,-3.5%,--,4k,H,value,90
HGV,HILTON GRAND V,3.15B,40.55,55.64,37.2%,11.0,20%,5.0,0,E,7.4%,1.5,73,N,23.0,7.3,0.3,--,--,12.6%,-52.0,--,11.5,624.1,-4.0%,06/30,3k,I,--,30
AVA,AVISTA CORPORA,3.15B,37.61,41.33,9.9%,7.0,--,2.0,0,E,0.0,0.2,86,N,13.6,13.5,0.7,2.3,5.24%,7.4%,557.1,--,8.3,119.7,-7.5%,06/30,2.5k,I,--,30
SPUS,SP FUNDS S&P 5,3.14B,58.72,--,--,--,--,--,--,,--,--,98,Y,29.7,--,--,--,0.52%,--,--,--,--,--,--,--,2.5k,I,--,30
CNU.AX,CHORUS LIMITED,3.14B,7.23,8.22,13.7%,2.0,50%,2.0,0,A,6.9%,0.4,81,N,103.3,34.3,2.2,--,5.93%,--,--,-13.07,4.6,401.5,4.2%,08/24,3k,I,--,30
FHB,FIRST HAWAIIAN,3.14B,25.81,30.78,19.2%,11,--,9,+1,E,0.0,0.7,84,N,11.2,10.2,0.6,--,3.99%,13.8%,-0.6,--,10.3,--,--,06/30,2.5k,S,value,90
NVTS,NAVITAS SEMICO,3.13B,12.00,14.07,17.3%,8.0,50%,2.0,0,E,8.6%,3.9,35,N,--,-95.2,--,--,--,17.3%,-1086.5,--,-52.6,0.6,-0.1%,06/30,3k,I,--,30
MANTA.HE,MANDATUM OYJ,3.13B,6.22,5.81,-6.7%,6,16%,6,0,A,-1.1%,0.0,83,N,24.9,18.7,1.1,--,13.51%,--,37.6,--,10.8,39.1,19.9%,06/30,2.5k,S,value,90
SXRG.DE,ISHARES MSCI U,3.12B,600.70,--,--,--,--,--,--,,--,--,95,Y,--,--,--,--,--,--,--,--,--,--,--,--,2.5k,I,--,30
BKG.L,THE BERKELEY G,3.12B,3418.00,3739.05,9.4%,19,36%,19,0,A,3.4%,1.2,77,N,10.3,12.2,0.5,5.3,--,--,--,--,8.8,18.2,11.3%,06/24,2.5k,S,value,90
PONY,PONY AI INC.,3.12B,7.18,20.43,184.6%,18,100%,1,+1,E,184.6%,--,29,N,--,-11.3,--,--,--,6.2%,2.4,--,-6.8,1.2,-8.7%,06/30,4k,I,--,30
EPAB.PA,AMUNDI S&P EUR,3.12B,43.06,--,--,--,--,--,--,,--,--,97,Y,18.3,--,--,--,--,--,--,--,--,--,--,--,2.5k,I,--,30
CUSS.L,ISHARES MSCI U,3.12B,698.60,--,--,--,--,--,--,,--,--,96,Y,20.8,--,--,--,--,--,--,--,--,--,--,--,2.5k,I,--,30
KC,KINGSOFT CLOUD,3.12B,10.42,20.22,94.1%,14,100%,1,+2,E,94.1%,2.0,56,N,--,-429.8,--,--,--,3.9%,-1914.7,--,-7.6,123.9,-58.5%,06/30,4k,I,--,30
SDF.DE,K+S AKTIENGESE,3.11B,17.34,16.46,-5.1%,14.0,35%,14.0,+1,A,-1.8%,0.2,93,Y,2.9,15.2,0.6,--,0.41%,--,28004.3,--,22.0,18.5,11.0%,06/30,2.5k,S,value,90
PLT.OL,POLIGHT ASA,3.11B,14.48,--,--,--,--,--,--,,--,1.4,99,Y,--,--,--,--,--,--,-6.9,--,-36.7,3.6,-1.1%,06/30,2.5k,I,--,30
CWK,CUSHMAN & WAKE,3.11B,13.26,17.73,33.7%,12.0,--,2.0,0,E,0.0,1.4,76,N,45.7,7.7,0.2,0.3,--,6.9%,2.5,--,3.5,149.8,9.7%,06/30,2.5k,I,--,30
PPTA,PERPETUA RESOU,3.10B,24.76,36.90,49.0%,8.0,100%,2.0,+1,E,49.0%,0.8,66,N,--,-247.6,--,--,--,12.1%,-278.7,--,-37.8,0.5,-5.4%,06/30,4k,I,--,30
ARCB,ARCBEST CORPOR,3.09B,138.09,170.77,23.7%,14,67%,9,+2,E,15.8%,1.5,78,Y,194.5,14.5,0.5,--,0.34%,8.0%,-135.2,--,1.3,36.3,4.8%,06/30,3k,H,value,90
SOP.PA,SOPRA STERIA G,3.09B,161.20,219.00,35.9%,9.0,66%,9.0,-2,A,23.7%,0.9,80,Y,10.4,8.0,0.2,0.8,3.22%,--,--,--,14.6,65.1,13.7%,--,3.5k,B,value,90
AF.PA,AIR FRANCE-KLM,3.09B,11.78,12.62,7.1%,20.0,25%,20.0,0,A,1.8%,1.3,82,Y,3.1,2.7,0.1,--,--,--,-74.6,--,63.1,551.6,-20.8%,06/30,2.5k,S,value,90
COCO,THE VITA COCO ,3.08B,53.27,83.89,57.5%,11.0,72%,11.0,0,A,41.4%,0.7,62,N,29.4,22.8,0.9,--,--,11.8%,106.0,--,31.4,3.5,3.4%,06/30,4k,H,value,90
INFQ,"INFLEQTION, IN",3.08B,13.66,21.33,56.2%,6,100%,3,+3,E,56.2%,--,64,Y,--,-60.7,--,--,--,--,-168.8,--,--,2.5,--,06/30,4k,I,--,30
MYSE.L,MING YANG SMAR,3.08B,6.80,--,--,--,--,--,--,,--,--,31,N,97.1,--,--,--,--,--,-71.9,42.62,--,--,--,06/30,2.5k,I,--,30
RCP.L,RIT CAPITAL PA,3.08B,2495.00,2660.00,6.6%,5.0,100%,5.0,+2,A,6.6%,--,94,Y,5.0,--,--,--,--,--,--,--,--,--,--,--,3k,I,--,30
CWT,CALIFORNIA WAT,3.08B,49.87,55.33,11.0%,3.0,100%,3.0,0,A,11.0%,0.5,93,Y,22.4,18.1,0.9,2.2,2.68%,3.2%,-7.8,--,7.7,92.7,-8.4%,06/30,3k,I,--,30
KBH,KB HOME,3.08B,50.20,58.67,16.9%,15.0,50%,6.0,0,E,8.4%,1.3,73,N,12.2,11.3,0.5,--,1.91%,20.3%,-75.1,--,7.0,52.6,10.3%,05/31,3k,H,value,90
CRL.MI,CAREL INDUSTRI,3.08B,27.40,34.29,25.1%,7.0,85%,7.0,0,A,21.4%,1.0,83,Y,33.4,29.6,0.9,--,0.70%,--,--,--,19.6,23.3,3.6%,03/31,3.5k,B,value,90
ARQT,ARCUTIS BIOTHE,3.07B,24.39,36.88,51.2%,8,100%,3,0,E,51.2%,1.5,77,N,110.9,18.7,0.6,--,--,12.5%,102.6,--,15.9,51.7,0.7%,06/30,4k,I,--,30
FLCB,FRANKLIN U.S. ,3.07B,20.95,--,--,--,--,--,--,,--,--,95,N,--,--,--,--,4.39%,--,--,--,--,--,--,--,2.5k,I,--,30
CLDX,CELLDEX THERAP,3.07B,39.12,58.79,50.3%,15.0,100%,8.0,-1,E,50.3%,0.8,87,Y,--,-9.3,--,--,--,11.4%,-9.6,--,-43.9,0.7,-4.3%,06/30,4k,H,value,90
CSQR,"CSQUARE, INC.",3.07B,18.43,28.50,54.6%,10.0,88%,8.0,--,E,47.8%,--,78,N,--,-18.1,--,--,--,--,-39.8,--,--,--,--,06/30,4k,H,value,90
CQQQ,INVESCO CHINA ,3.07B,47.44,--,--,--,--,--,--,,--,--,78,N,18.4,--,--,--,2.28%,--,--,--,--,--,--,--,2.5k,I,--,30
TMDX,TRANSMEDICS GR,3.06B,88.27,97.30,10.2%,12.0,75%,8.0,0,E,7.7%,1.9,57,N,22.9,38.3,1.3,0.8,--,35.5%,-39.6,--,36.3,167.5,1.5%,06/30,3k,H,value,90
PFS,PROVIDENT FINA,3.06B,23.43,27.92,19.1%,6,100%,3,0,E,19.1%,0.8,92,Y,9.8,9.0,0.6,--,4.05%,6.4%,9.0,--,11.1,--,--,06/30,3.5k,I,--,30
